# Title: PerfSnippet record
# Generated by: PerfSnippet
# Datetime: 20230314_201937
# Description: Some performance data of Android device
#
# ENABLE_DEBUG true ENABLE_MEMINFO true ENABLE_CPUINFO true CONFIG_PS_INTERVAL 2 CONFIG_PS_DURATION 1200
#
# Index MemFree(MB) MemAvai(MB) Usage(%) USR(%) SYS(%) Other(%) Idle(%)
1 753 4175 26.73 13.41 10.06 3.24 73.27
2 753 4175 6.82 2.06 4.22 0.51 93.18
3 752 4174 4.88 1.42 2.89 0.55 95.12
4 752 4175 6.64 2.41 3.53 0.68 93.36
5 750 4173 5.66 1.63 3.36 0.66 94.34
6 750 4172 7.07 2.15 4.04 0.86 92.93
7 750 4172 7.71 2.39 4.64 0.66 92.29
8 748 4171 4.91 1.58 2.55 0.76 95.09
9 803 4225 5.66 1.27 3.20 1.17 94.34
10 803 4226 4.69 1.52 2.59 0.56 95.31
11 803 4226 6.58 2.24 3.80 0.51 93.42
12 803 4226 4.85 1.37 2.96 0.51 95.15
13 801 4224 7.95 2.41 4.66 0.86 92.05
14 802 4225 5.10 1.68 2.75 0.66 94.90
15 799 4222 12.92 4.53 7.44 0.94 87.08
16 797 4220 5.09 1.57 2.90 0.61 94.91
17 797 4220 6.65 2.24 3.62 0.77 93.35
18 796 4220 4.90 1.68 2.65 0.56 95.10
19 796 4220 6.80 1.97 4.04 0.77 93.20
20 795 4218 5.04 1.47 3.00 0.55 94.96
21 796 4219 7.17 2.09 4.50 0.56 92.83
22 795 4218 4.46 1.27 2.71 0.46 95.54
23 794 4218 5.25 1.47 3.15 0.61 94.75
24 792 4216 7.38 2.40 4.45 0.51 92.62
25 793 4217 7.50 2.24 4.63 0.61 92.50
26 791 4215 9.57 3.27 5.43 0.86 90.43
27 792 4216 4.99 1.67 2.74 0.55 95.01
28 791 4215 7.12 2.05 4.45 0.60 92.88
29 791 4214 4.85 1.47 2.80 0.56 95.15
30 790 4214 7.80 2.82 4.28 0.68 92.20
31 788 4212 4.80 1.37 2.80 0.61 95.20
32 789 4213 6.48 2.32 3.62 0.51 93.52
33 788 4213 5.16 1.37 2.90 0.86 94.84
34 787 4212 4.95 1.47 2.75 0.71 95.05
35 787 4212 4.85 1.42 2.90 0.50 95.15
36 787 4212 7.31 2.75 3.98 0.56 92.69
37 786 4211 6.47 1.89 3.96 0.60 93.53
38 786 4211 7.68 2.59 4.47 0.61 92.32
39 786 4211 11.35 3.52 7.21 0.60 88.65
40 785 4210 4.79 1.68 2.59 0.50 95.21
41 785 4210 7.24 2.15 4.39 0.68 92.76
42 784 4209 7.88 2.24 4.70 0.92 92.12
43 781 4206 25.92 8.38 16.25 1.27 74.08
44 733 4175 13.70 3.88 7.10 2.70 86.30
45 724 4176 7.70 2.13 4.78 0.76 92.30
46 720 4172 11.50 4.15 6.67 0.66 88.50
47 321 3983 51.35 18.78 17.16 15.39 48.65
48 278 3930 34.45 15.58 11.38 7.47 65.55
49 164 3809 55.44 24.79 14.52 16.12 44.56
50 125 3731 55.54 20.29 16.47 18.77 44.46
51 95 3778 42.20 19.60 17.17 5.41 57.80
52 110 3775 30.90 13.21 8.25 9.43 69.10
53 155 3731 43.60 23.63 15.49 4.46 56.40
54 146 3712 37.82 17.80 14.10 5.90 62.18
55 136 3672 32.10 10.66 7.44 13.98 67.90
56 110 3583 58.36 27.91 16.11 14.32 41.64
57 163 3705 42.16 22.67 15.02 4.44 57.84
58 153 3682 28.23 14.51 10.87 2.83 71.77
59 162 3678 23.11 11.75 8.99 2.36 76.89
60 149 3644 33.00 13.53 8.81 10.64 67.00
61 128 3624 33.01 11.63 7.39 13.96 66.99
62 108 3599 32.25 11.39 6.80 14.05 67.75
63 120 3578 34.72 12.26 8.53 13.91 65.28
64 170 3719 35.13 12.97 8.06 14.07 64.87
65 168 3702 31.47 10.56 7.10 13.79 68.53
66 160 3666 32.20 11.68 6.50 14.00 67.80
67 93 3571 53.73 25.06 13.85 14.81 46.27
68 116 3572 37.58 17.16 11.12 9.28 62.42
69 118 3523 37.04 14.92 8.78 13.32 62.96
70 169 3650 40.80 16.13 10.95 13.69 59.20
71 155 3638 34.34 12.57 7.44 14.31 65.66
72 136 3581 36.44 13.56 8.42 14.44 63.56
73 110 3557 53.96 26.04 11.20 16.70 46.04
74 143 3670 40.48 14.74 11.17 14.55 59.52
75 123 3675 37.32 6.71 14.44 16.15 62.68
76 114 3649 24.88 5.46 5.76 13.64 75.12
77 114 3650 28.39 6.34 8.68 13.35 71.61
78 134 3595 37.09 15.48 13.00 8.59 62.91
79 101 3534 42.12 24.36 13.87 3.88 57.88
80 98 3464 22.55 12.14 8.38 2.00 77.45
81 176 3541 18.81 7.25 9.78 1.77 81.19
82 148 3512 20.03 9.98 6.95 3.07 79.97
83 126 3611 32.92 17.97 11.72 3.20 67.08
84 111 3583 25.84 12.17 10.63 3.03 74.16
85 119 3579 24.99 14.55 8.71 1.71 75.01
86 108 3540 32.36 19.15 11.64 1.56 67.64
87 113 3487 28.27 14.96 11.23 2.06 71.73
88 169 3604 26.05 13.44 7.87 4.71 73.95
89 180 3585 32.23 12.15 6.77 13.29 67.77
90 175 3566 33.56 11.96 8.20 13.38 66.44
91 164 3553 29.35 10.77 5.23 13.33 70.65
92 111 3498 42.87 18.50 10.71 13.64 57.13
93 160 3609 39.99 18.31 8.29 13.37 60.01
94 172 3623 35.97 15.84 8.45 11.65 64.03
95 113 3472 56.85 33.28 13.69 9.86 43.15
96 110 3437 53.70 27.66 11.96 14.06 46.30
97 114 3428 56.96 28.69 13.75 14.49 43.04
98 359 3481 64.41 32.86 16.54 14.99 35.59
99 283 3441 90.03 49.69 25.64 14.68 9.97
100 535 3694 57.15 28.84 19.00 9.29 42.85
101 529 3687 45.90 17.59 14.10 14.19 54.10
102 478 3640 53.01 24.62 14.31 14.06 46.99
103 448 3612 56.89 27.63 14.74 14.50 43.11
104 457 3618 48.85 20.43 14.01 14.40 51.15
105 452 3724 57.04 23.69 18.72 14.61 42.96
106 483 3785 46.39 17.54 16.33 12.50 53.61
107 473 3758 44.95 17.34 22.97 4.62 55.05
108 460 3756 38.49 17.73 18.76 1.98 61.51
109 458 3753 36.71 16.85 17.67 2.17 63.29
110 399 3681 47.41 23.16 20.57 3.66 52.59
111 393 3660 46.03 24.69 17.64 3.67 53.97
112 403 3656 54.24 27.88 21.48 4.85 45.76
113 391 3677 42.88 23.43 14.67 4.76 57.12
114 382 3670 43.46 26.31 14.84 2.29 56.54
115 467 3756 44.02 25.15 16.18 2.68 55.98
116 467 3742 43.72 23.96 16.47 3.28 56.28
117 467 3729 43.17 23.32 16.30 3.54 56.83
118 425 3667 47.08 20.61 12.24 14.21 52.92
119 436 3683 38.41 16.58 8.48 13.32 61.59
120 471 3829 40.40 16.58 10.01 13.79 59.60
121 429 3774 39.62 16.12 9.69 13.79 60.38
122 440 3751 41.14 15.17 12.22 13.73 58.86
123 417 3702 32.30 12.45 6.45 13.39 67.70
124 413 3683 33.50 12.88 7.40 13.20 66.50
125 397 3639 38.03 15.87 8.66 13.48 61.97
126 475 3770 36.11 15.06 7.80 13.22 63.89
127 558 3839 31.44 11.38 7.22 12.82 68.56
128 514 3782 39.77 23.73 12.60 3.42 60.23
129 508 3761 26.68 14.30 10.92 1.43 73.32
130 487 3724 20.23 10.33 7.81 2.06 79.77
131 502 3819 28.26 14.41 12.60 1.23 71.74
132 503 3806 29.77 16.39 11.91 1.45 70.23
133 469 3720 40.56 21.83 12.27 6.44 59.44
134 414 3641 38.40 16.41 7.34 14.63 61.60
135 424 3638 35.18 14.23 7.28 13.65 64.82
136 421 3730 30.98 10.70 6.24 14.02 69.02
137 419 3728 32.44 12.03 6.82 13.57 67.56
138 432 3728 28.22 9.58 5.36 13.26 71.78
139 377 3635 39.08 15.25 10.00 13.82 60.92
140 422 3786 30.80 7.25 8.50 15.05 69.20
141 432 3761 34.79 7.11 12.13 15.53 65.21
142 414 3761 21.28 3.52 4.68 13.05 78.72
143 358 3689 36.18 11.53 11.23 13.40 63.82
144 350 3683 45.23 21.44 9.78 13.99 54.77
145 337 3640 31.43 10.94 6.63 13.84 68.57
146 334 3622 29.32 12.38 9.23 7.69 70.68
147 313 3550 34.56 18.70 12.38 3.46 65.44
148 298 3615 73.17 39.95 18.66 14.54 26.83
149 351 3655 53.23 24.71 14.32 14.18 46.77
150 338 3630 53.14 25.81 13.56 13.75 46.86
151 324 3601 50.40 23.20 13.23 13.95 49.60
152 314 3561 47.32 21.19 12.25 13.86 52.68
153 309 3542 49.11 20.38 15.33 13.38 50.89
154 325 3654 49.63 23.10 12.64 13.88 50.37
155 296 3611 45.85 19.62 12.64 13.57 54.15
156 290 3591 49.48 21.92 13.61 13.93 50.52
157 276 3576 49.38 21.86 13.65 13.85 50.62
158 536 3694 65.07 28.79 21.24 15.02 34.93
159 421 3585 50.78 24.18 12.51 14.07 49.22
160 386 3571 40.86 17.94 9.59 13.31 59.14
161 397 3709 44.49 18.50 14.48 11.50 55.51
162 388 3687 48.67 19.38 11.30 17.97 51.33
163 376 3661 44.97 16.41 12.13 16.41 55.03
164 370 3641 40.35 13.70 11.05 15.57 59.65
165 832 2318 47.35 17.47 13.70 16.16 52.65
166 1023 3062 71.22 34.29 20.09 16.83 28.78
167 1183 3667 59.21 26.77 15.69 16.73 40.79
168 1185 3654 41.01 17.11 8.38 15.50 58.99
169 1166 3623 39.22 14.23 9.74 15.23 60.78
170 1118 3527 48.49 21.73 13.30 13.44 51.51
171 1093 3465 48.54 22.80 20.01 5.71 51.46
172 1153 3639 45.89 20.19 20.04 5.65 54.11
173 1161 3634 43.95 15.14 21.67 7.13 56.05
174 1143 3622 40.46 17.29 18.14 5.02 59.54
175 1136 3616 45.33 19.12 22.26 3.94 54.67
176 1098 3565 50.08 23.21 21.83 5.02 49.92
177 1092 3530 38.23 19.40 13.99 4.82 61.77
178 1088 3513 39.81 21.94 14.41 3.43 60.19
179 1078 3474 37.47 19.35 14.08 4.03 62.53
180 1078 3554 38.51 19.72 14.42 4.35 61.49
181 1070 3533 43.87 23.24 14.74 5.86 56.13
182 1102 3556 40.14 20.68 13.13 6.30 59.86
183 1000 3427 52.27 28.38 18.06 5.82 47.73
184 894 3308 51.00 27.31 17.83 5.84 49.00
185 884 3284 49.41 26.00 18.66 4.74 50.59
186 1038 3427 43.68 22.83 15.65 5.18 56.32
187 1025 3400 54.86 28.91 20.52 5.40 45.14
188 992 3369 50.61 26.43 19.12 5.04 49.39
189 977 3318 42.15 22.96 14.03 5.15 57.85
190 973 3285 33.43 16.30 13.03 4.08 66.57
191 1156 3353 39.20 17.26 17.18 4.74 60.80
192 1217 3557 33.00 16.59 12.80 3.59 67.00
193 1262 3590 60.27 33.92 18.98 7.35 39.73
194 1274 3587 38.39 21.25 13.56 3.56 61.61
195 1056 3344 51.04 27.48 17.50 6.04 48.96
196 1014 3250 45.60 25.01 16.35 4.22 54.40
197 993 3217 53.46 32.05 17.34 4.05 46.54
198 1022 3335 42.07 23.45 14.48 4.12 57.93
199 984 3261 47.43 26.13 16.80 4.48 52.57
200 979 3226 29.04 16.03 10.41 2.59 70.96
201 993 3226 30.04 16.99 10.64 2.39 69.96
202 990 3209 33.87 17.48 13.44 2.92 66.13
203 977 3148 40.36 21.19 15.28 3.87 59.64
204 1038 3353 30.89 12.93 14.74 3.21 69.11
205 1018 3353 29.06 8.20 16.21 4.63 70.94
206 1025 3322 24.81 10.92 11.81 2.06 75.19
207 1020 3317 30.88 13.24 15.48 2.15 69.12
208 1048 3231 39.31 21.04 14.86 3.39 60.69
209 1101 3287 38.51 20.04 14.16 4.29 61.49
210 1097 3312 29.87 16.58 10.21 3.06 70.13
211 1092 3292 36.84 18.33 15.81 2.68 63.16
212 1082 3362 36.92 21.09 13.28 2.53 63.08
213 1092 3357 34.32 17.19 13.84 3.27 65.68
214 1073 3308 29.35 15.95 11.06 2.32 70.65
215 1087 3309 37.54 19.26 15.01 3.25 62.46
216 1065 3271 35.10 18.45 13.57 3.06 64.90
217 1070 3387 32.22 15.78 10.72 5.71 67.78
218 1082 3400 38.37 14.77 9.55 14.04 61.63
219 1075 3378 40.97 17.06 9.18 14.72 59.03
220 1072 3361 41.68 17.79 11.69 12.18 58.32
221 1067 3326 41.62 16.61 9.77 15.22 58.38
222 1065 3309 37.39 12.89 10.16 14.33 62.61
223 1122 3352 42.72 19.66 13.09 9.95 57.28
224 1124 3485 35.17 17.37 11.55 6.23 64.83
225 1099 3446 41.94 17.80 9.22 14.90 58.06
226 1108 3426 39.10 16.40 10.46 12.22 60.90
227 1109 3413 32.21 17.67 12.01 2.51 67.79
228 1064 3300 44.45 26.82 13.38 4.23 55.55
229 1055 3255 37.69 21.63 11.83 4.21 62.31
230 1069 3411 39.71 17.33 10.56 11.80 60.29
231 1049 3362 43.29 17.85 10.82 14.60 56.71
232 1061 3358 42.29 17.12 11.03 14.12 57.71
233 1035 3280 41.39 17.22 9.36 14.79 58.61
234 896 3153 61.54 25.79 17.90 17.83 38.46
235 856 3107 44.42 18.79 13.35 12.26 55.58
